id;name;stock;price;description;type;release_date
1;boo safely since;26304;22256.77;handful;Paint;2024-10-24T03:46:06
2;vanadyl;17398;29049.83;stack queasy;Book;2024-10-24T14:20:16
3;internalize impanel hateful;32242;17256.4;shadowbox;Paint;2024-10-24T08:59:57
4;provided ick phew;10877;6498.69;consequently;Decor;2024-10-23T15:18:04
5;represent if;13292;7203.83;since;Paint;2024-10-23T18:25:26
6;wombat ack;27351;30854.18;accredit;Figurine;2024-10-23T17:39:08
7;hutch meanwhile fork;23951;17889.22;gloomy commandeer;Decor;2024-10-24T04:07:31
8;low;29226;27904.12;meanwhile busily;Dice;2024-10-23T14:34:18
9;abandoned against as;24928;19651.32;gah happily nor;Figurine;2024-10-24T08:29:42
10;numeric;13684;9916.32;unlawful;Figurine;2024-10-23T17:15:10
